DataYear,BuildingType,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,mean_GFA_per_floor,Number_of_Use_Types
2016,NonResidential,Hotel,47.6122,-122.33799,1.0,88434,0,Hotel,7226362.5,249.98,89,6802.615384615385,1
2016,NonResidential,Hotel,47.61317,-122.33393,1.0,103566,15064,Hotel,8387933.0,295.86,20,7375.166666666667,3
2016,NonResidential,Hotel,47.61412,-122.33664,1.0,61320,0,Hotel,6794584.0,286.43,90,5574.545454545455,1
2016,NonResidential,Hotel,47.61375,-122.34047,1.0,175580,62000,Hotel,14172606.0,505.01,36,5977.894736842105,3
2016,Nonresidential COS,Other,47.61623,-122.33657,1.0,97288,37198,Police Station,12086616.0,301.81,17,20030.0,1
2016,NonResidential,Hotel,47.6139,-122.33283,1.0,83008,0,Hotel,5758795.0,176.14,90,6917.333333333333,1
2016,NonResidential,Other,47.61327,-122.33136,1.0,102761,0,Other - Entertainment/Public Assembly,6298131.5,221.51,90,11417.888888888889,1
2016,NonResidential,Hotel,47.60294,-122.33263,1.0,163984,0,Hotel,13723820.0,392.16,112,10249.0,1
2016,NonResidential,Hotel,47.60699,-122.33346,1.0,65009,0,Hotel,6596057.5,328.23,88,6500.9,1
2016,NonResidential,Hotel,47.60755,-122.33244,1.0,92190,25200,Hotel,10750010.0,511.39,94,5582.5,2
2016,Nonresidential COS,Other,47.60649,-122.33297,1.0,412000,57000,Library,18588860.0,181.38,12,29583.333333333332,3
2016,NonResidential,Other,47.60546,-122.33279,1.0,103911,0,Fitness Center/Health Club/Gym,9956396.0,433.86,86,14844.42857142857,3
2016,NonResidential,Mixed Use Property,47.60515,-122.33159,1.0,57452,0,Social/Meeting Hall,7606084.5,273.02,109,9575.333333333334,5
2016,NonResidential,Hotel,47.60376,-122.33194,1.0,104352,0,Hotel,10154608.0,349.32,100,9486.545454545454,1
2016,NonResidential,Hotel,47.65959,-122.31755,1.0,88592,30586,Hotel,3663534.5,90.01,15,8286.57142857143,2
2016,NonResidential,University,47.61816,-122.33629,1.0,126593,0,College/University,11343686.0,388.04,88,15824.125,1
2016,NonResidential,Other,47.615,-122.33081,1.0,67224,0,Automobile Dealership,1310236.625,9.13,86,22408.0,1
