DataYear,BuildingType,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,mean_GFA_per_floor,Number_of_Use_Types
2016,SPS-District K-12,K-12 School,47.54576,-122.26853,1.0,56228,0,K-12 School,1539478.5,38.53,55,18742.666666666668,1
2016,SPS-District K-12,K-12 School,47.70994,-122.29301,1.0,160645,0,K-12 School,6779173.0,270.18,67,53548.333333333336,1
2016,SPS-District K-12,K-12 School,47.6329,-122.35172,1.0,51582,0,K-12 School,0.0,10.43,27,17194.0,1
2016,SPS-District K-12,K-12 School,47.68252,-122.29498,1.0,175565,0,K-12 School,6399127.5,266.05,66,58521.666666666664,1
2016,SPS-District K-12,K-12 School,47.5097,-122.37759,1.0,53352,0,K-12 School,0.0,4.19,68,17784.0,1
2016,SPS-District K-12,K-12 School,47.5636,-122.358,1.0,74468,0,K-12 School,0.0,11.84,17,18617.0,1
2016,SPS-District K-12,K-12 School,47.57324,-122.29058,1.0,58933,0,K-12 School,0.0,16.36,25,19644.333333333332,1
2016,SPS-District K-12,K-12 School,47.56413,-122.31208,1.0,130862,0,K-12 School,6456026.0,238.48,59,65431.0,1
2016,SPS-District K-12,K-12 School,47.55478,-122.27596,1.0,59955,0,K-12 School,1633399.375,20.48,27,14988.75,1
2016,SPS-District K-12,K-12 School,47.63683,-122.35896,1.0,93218,0,K-12 School,2887392.0,84.75,52,31072.666666666668,1
2016,SPS-District K-12,K-12 School,47.72463,-122.35315,1.0,131013,0,K-12 School,3894584.5,124.92,53,43671.0,1
2016,SPS-District K-12,K-12 School,47.65464,-122.34912,1.0,66588,0,K-12 School,0.0,14.67,25,16647.0,1
2016,SPS-District K-12,K-12 School,47.6706,-122.36225,1.0,55513,0,K-12 School,1513570.75,10.55,25,18504.333333333332,1
2016,SPS-District K-12,K-12 School,47.57589,-122.29365,1.0,289588,0,K-12 School,8819852.0,170.84,26,57917.6,1
2016,SPS-District K-12,K-12 School,47.60598,-122.30156,1.0,254523,0,K-12 School,13567774.0,359.09,8,63630.75,1
2016,SPS-District K-12,K-12 School,47.51482,-122.25864,1.0,78804,0,K-12 School,2499140.0,56.82,15,19701.0,1
2016,SPS-District K-12,K-12 School,47.61224,-122.29087,1.0,66994,0,K-12 School,2371304.5,41.74,14,16748.5,1
2016,SPS-District K-12,K-12 School,47.52915,-122.28904,1.0,98357,0,K-12 School,3456131.5,94.64,16,24589.25,1
2016,SPS-District K-12,K-12 School,47.68725,-122.35996,1.0,62526,0,K-12 School,1986094.875,54.07,14,15631.5,1
2016,SPS-District K-12,K-12 School,47.67661,-122.37489,1.0,242795,0,K-12 School,9157150.0,123.71,17,80931.66666666667,1
2016,SPS-District K-12,K-12 School,47.54632,-122.28198,1.0,173185,0,K-12 School,6127771.5,242.36,64,57728.333333333336,1
2016,SPS-District K-12,K-12 School,47.54862,-122.36214,1.0,145341,0,K-12 School,5499097.0,206.01,53,72670.5,1
2016,SPS-District K-12,K-12 School,47.52407,-122.26586,1.0,184125,0,K-12 School,8800292.0,328.97,56,61375.0,1
2016,SPS-District K-12,K-12 School,47.69675,-122.3776,1.0,160270,0,K-12 School,0.0,229.38,57,80135.0,1
2016,SPS-District K-12,K-12 School,47.51778,-122.37074,1.0,46797,0,K-12 School,2075891.0,73.47,58,23398.5,1
2016,SPS-District K-12,K-12 School,47.59796,-122.30415,1.0,136188,0,K-12 School,0.0,170.9,53,34047.0,1
2016,SPS-District K-12,K-12 School,47.54174,-122.27691,1.0,67371,0,K-12 School,2128459.0,46.36,12,22457.0,1
2016,SPS-District K-12,K-12 School,47.65708,-122.33803,1.0,127776,0,K-12 School,4748137.0,80.08,6,31944.0,1
2016,SPS-District K-12,K-12 School,47.68359,-122.37308,1.0,67235,0,K-12 School,2284133.75,49.12,17,22411.666666666668,1
2016,SPS-District K-12,K-12 School,47.54025,-122.3885,1.0,58118,0,K-12 School,1407277.25,21.29,25,14529.5,1
2016,SPS-District K-12,K-12 School,47.53809,-122.29591,1.0,70762,0,K-12 School,3606416.0,168.88,91,35381.0,1
2016,SPS-District K-12,K-12 School,47.65996,-122.33962,1.0,241066,0,K-12 School,7791957.0,270.97,19,48213.2,1
2016,SPS-District K-12,K-12 School,47.52518,-122.34828,1.0,71714,0,K-12 School,2371358.0,36.24,17,35857.0,1
2016,SPS-District K-12,K-12 School,47.57678,-122.38459,1.0,208981,0,K-12 School,8164853.0,207.79,14,69660.33333333333,1
2016,SPS-District K-12,K-12 School,47.67723,-122.31281,1.0,269297,0,K-12 School,10498344.0,225.19,10,67324.25,1
2016,SPS-District K-12,K-12 School,47.67184,-122.29221,1.0,75174,0,K-12 School,2733846.0,71.86,15,18793.5,1
2016,SPS-District K-12,K-12 School,47.64052,-122.3656,1.0,75214,0,K-12 School,2334260.0,43.98,13,18803.5,1
2016,SPS-District K-12,K-12 School,47.57298,-122.39028,1.0,134918,0,K-12 School,3822102.5,69.42,11,33729.5,1
2016,SPS-District K-12,K-12 School,47.59096,-122.29985,1.0,64414,0,K-12 School,2295176.5,16.0,25,21471.333333333332,1
2016,SPS-District K-12,K-12 School,47.67725,-122.32232,1.0,92437,0,K-12 School,4626443.0,201.05,89,23109.25,1
2016,SPS-District K-12,K-12 School,47.55237,-122.31391,1.0,204961,0,K-12 School,8190809.0,226.06,9,51240.25,1
2016,NonResidential,Large Office,47.61166,-122.33528,1.0,127268,0,Office,7711757.5,148.11,95,25453.6,3
2016,NonResidential,Small- and Mid-Sized Office,47.60159,-122.32915,1.0,73470,0,Office,3212269.0,22.39,107,10495.714285714286,3
2016,SPS-District K-12,K-12 School,47.6012,-122.31548,1.0,52924,0,K-12 School,0.0,13.64,28,26462.0,1
2016,SPS-District K-12,K-12 School,47.6021,-122.29181,1.0,55353,0,K-12 School,0.0,9.99,28,13838.25,1
2016,SPS-District K-12,K-12 School,47.5795,-122.38723,1.0,61183,0,K-12 School,2424724.25,95.54,66,30591.5,1
2016,SPS-District K-12,K-12 School,47.69054,-122.29705,1.0,46732,0,K-12 School,2331952.75,89.08,61,23366.0,1
2016,SPS-District K-12,K-12 School,47.5773,-122.4074,1.0,51489,0,K-12 School,1984067.625,70.76,62,17163.0,1
2016,SPS-District K-12,K-12 School,47.60842,-122.30093,1.0,37327,0,K-12 School,1967476.375,71.06,91,12442.333333333334,1
2016,SPS-District K-12,K-12 School,47.68636,-122.3423,1.0,47602,0,K-12 School,2249592.5,83.59,86,15867.333333333334,1
2016,SPS-District K-12,K-12 School,47.67365,-122.26293,1.0,38624,0,K-12 School,1424157.25,38.78,58,19312.0,1
2016,SPS-District K-12,K-12 School,47.57405,-122.30301,1.0,55206,0,K-12 School,2345752.5,61.84,45,27603.0,1
2016,SPS-District K-12,K-12 School,47.58547,-122.3151,1.0,51704,0,K-12 School,1799402.75,41.68,45,25852.0,1
2016,SPS-District K-12,K-12 School,47.6315,-122.30761,1.0,62078,0,K-12 School,1955013.5,50.69,15,15519.5,1
2016,SPS-District K-12,K-12 School,47.64252,-122.32418,1.0,95501,0,K-12 School,3009967.0,62.94,17,23875.25,1
2016,SPS-District K-12,K-12 School,47.55818,-122.28712,1.0,33105,0,K-12 School,1725336.25,69.77,91,16552.5,1
2016,SPS-District K-12,K-12 School,47.71343,-122.31466,1.0,34005,0,K-12 School,991918.0,10.15,66,17002.5,1
2016,SPS-District K-12,K-12 School,47.56549,-122.39689,1.0,41221,0,K-12 School,2246747.5,46.46,67,20610.5,1
2016,SPS-District K-12,K-12 School,47.52499,-122.27466,1.0,75605,0,K-12 School,2274873.5,50.67,16,25201.666666666668,1
2016,SPS-District K-12,K-12 School,47.52526,-122.27092,1.0,29525,0,K-12 School,1297812.75,24.42,8,9841.666666666666,1
2016,SPS-District K-12,K-12 School,47.54176,-122.37349,1.0,54528,0,K-12 School,1972078.625,13.75,28,18176.0,1
2016,NonResidential,Warehouse,47.51968,-122.3212,1.0,31300,0,Non-Refrigerated Warehouse,362874.0,9.08,38,15650.0,1
2016,NonResidential,Warehouse,47.51918,-122.31957,1.0,22000,0,Non-Refrigerated Warehouse,700627.625,4.88,37,11000.0,2
2016,SPS-District K-12,K-12 School,47.70743,-122.28463,1.0,38582,0,K-12 School,1848878.5,64.54,61,19291.0,1
2016,NonResidential,Retail Store,47.70747,-122.32249,1.0,24982,0,Retail Store,335245.0,2.34,51,12491.0,1
2016,NonResidential,Retail Store,47.70708,-122.32251,1.0,41615,0,Retail Store,1900006.25,13.25,50,20807.5,1
2016,SPS-District K-12,K-12 School,47.55813,-122.3189,1.0,50546,0,K-12 School,1155080.5,12.15,45,25273.0,1
2016,SPS-District K-12,K-12 School,47.69497,-122.38704,1.0,39971,0,K-12 School,0.0,50.22,58,19985.5,1
2016,SPS-District K-12,K-12 School,47.55226,-122.29629,1.0,52609,0,K-12 School,1801941.75,46.51,45,17536.333333333332,1
2016,SPS-District K-12,K-12 School,47.52361,-122.32469,1.0,64493,0,K-12 School,1989763.875,28.57,16,21497.666666666668,1
2016,NonResidential,Retail Store,47.53922,-122.28295,1.0,54211,17471,Retail Store,1267463.125,8.84,14,12246.666666666666,3
2016,SPS-District K-12,K-12 School,47.49917,-122.26306,1.0,41428,0,K-12 School,1404702.25,44.27,55,20714.0,1
2016,SPS-District K-12,K-12 School,47.53961,-122.35866,1.0,41526,0,K-12 School,1814947.0,56.04,46,20763.0,1
2016,NonResidential,Retail Store,47.56514,-122.28781,1.0,36071,0,Retail Store,1519952.125,50.76,48,18035.5,1
2016,SPS-District K-12,K-12 School,47.68069,-122.27533,1.0,64314,0,K-12 School,2936336.25,108.05,68,32157.0,1
2016,SPS-District K-12,K-12 School,47.69845,-122.30747,1.0,36701,0,K-12 School,1564891.75,47.98,57,18350.5,1
2016,SPS-District K-12,K-12 School,47.57269,-122.39673,1.0,51410,0,K-12 School,1968907.25,64.79,54,25705.0,1
2016,SPS-District K-12,K-12 School,47.62442,-122.31838,1.0,73769,0,K-12 School,2556131.0,94.85,91,24589.666666666668,1
2016,SPS-District K-12,K-12 School,47.68503,-122.28267,1.0,43578,0,K-12 School,1436773.875,24.63,55,21789.0,1
2016,SPS-District K-12,K-12 School,47.63408,-122.28483,1.0,38297,0,K-12 School,1845150.625,69.18,91,9574.25,1
2016,SPS-District K-12,K-12 School,47.55257,-122.38019,1.0,39929,0,K-12 School,1813718.0,47.18,52,13309.666666666666,1
2016,SPS-District K-12,K-12 School,47.53074,-122.28491,1.0,52901,0,K-12 School,2240342.0,60.2,45,17633.666666666668,1
2016,NonResidential,Small- and Mid-Sized Office,47.60102,-122.33378,1.0,22840,0,Office,881386.1875,6.14,116,4568.0,2
2016,SPS-District K-12,K-12 School,47.6763,-122.3285,1.0,42239,0,K-12 School,2145603.5,72.69,46,21119.5,1
2016,SPS-District K-12,K-12 School,47.66828,-122.3266,1.0,51360,0,K-12 School,1403094.75,30.22,91,12840.0,1
2016,SPS-District K-12,K-12 School,47.65753,-122.32405,1.0,61052,0,K-12 School,2366929.5,47.78,16,20350.666666666668,1
2016,SPS-District K-12,K-12 School,47.6622,-122.27796,1.0,54943,0,K-12 School,2155390.25,83.76,88,18314.333333333332,1
2016,SPS-District K-12,K-12 School,47.68644,-122.38905,1.0,44753,0,K-12 School,1638691.625,61.25,84,14917.666666666666,1
2016,SPS-District K-12,K-12 School,47.67363,-122.39152,1.0,57298,0,K-12 School,1586388.75,11.06,27,19099.333333333332,1
2016,SPS-District K-12,K-12 School,47.71487,-122.32959,1.0,45174,0,K-12 School,1980825.25,68.89,60,22587.0,1
2016,SPS-District K-12,K-12 School,47.64063,-122.30428,1.0,27273,0,K-12 School,1258619.125,46.7,91,9091.0,1
2016,SPS-District K-12,K-12 School,47.52374,-122.27201,1.0,138705,0,K-12 School,4959298.0,124.77,7,46235.0,1
2016,SPS-District K-12,K-12 School,47.64342,-122.3997,1.0,116101,0,K-12 School,0.0,265.21,64,58050.5,1
2016,Nonresidential COS,Office,47.63572,-122.37525,1.0,13661,0,Office,502667.6875,3.5,64,6830.5,1
2016,Nonresidential COS,Office,47.5644,-122.27813,1.0,15398,0,Office,387810.0,7.79,56,7699.0,1
2016,Nonresidential COS,Office,47.56722,-122.31154,1.0,12294,0,Office,849745.6875,20.94,26,6147.0,1
